dy（对HKA角）,股骨头中心,股骨远端中心,膝关节中心,踝关节中心,,,x轴内容,,,,
-500,11.0525,14.0204,9.64449,17.8554,,,-500,-0.9892,1.9787,-2.39721,5.8137
-499.5,11.0532,14.0174,9.64618,17.8455,,,-499.5,-0.9885,1.9757,-2.39552,5.8038
-499,11.054,14.0144,9.64787,17.8356,,,-499,-0.9877,1.9727,-2.39383,5.7939
-498.5,11.0547,14.0115,9.64956,17.8257,,,-498.5,-0.987,1.9698,-2.39214,5.784
-498,11.0555,14.0085,9.65125,17.8159,,,-498,-0.9862,1.9668,-2.39045,5.7742
-497.5,11.0562,14.0056,9.65295,17.806,,,-497.5,-0.9855,1.9639,-2.38875,5.7643
-497,11.0569,14.0026,9.65464,17.7962,,,-497,-0.9848,1.9609,-2.38706,5.7545
-496.5,11.0577,13.9997,9.65634,17.7864,,,-496.5,-0.984,1.958,-2.38536,5.7447
-496,11.0584,13.9967,9.65804,17.7766,,,-496,-0.9833,1.955,-2.38366,5.7349
-495.5,11.0592,13.9938,9.65973,17.7668,,,-495.5,-0.9825,1.9521,-2.38197,5.7251
-495,11.0599,13.9908,9.66143,17.757,,,-495,-0.9818,1.9491,-2.38027,5.7153
-494.5,11.0607,13.9879,9.66313,17.7472,,,-494.5,-0.981,1.9462,-2.37857,5.7055
-494,11.0614,13.985,9.66483,17.7375,,,-494,-0.9803,1.9433,-2.37687,5.6958
-493.5,11.0622,13.982,9.66654,17.7277,,,-493.5,-0.9795,1.9403,-2.37516,5.686
-493,11.0629,13.9791,9.66824,17.718,,,-493,-0.9788,1.9374,-2.37346,5.6763
-492.5,11.0636,13.9762,9.66994,17.7083,,,-492.5,-0.9781,1.9345,-2.37176,5.6666
-492,11.0644,13.9733,9.67165,17.6986,,,-492,-0.9773,1.9316,-2.37005,5.6569
-491.5,11.0651,13.9703,9.67335,17.6889,,,-491.5,-0.9766,1.9286,-2.36835,5.6472
-491,11.0659,13.9674,9.67506,17.6793,,,-491,-0.9758,1.9257,-2.36664,5.6376
-490.5,11.0666,13.9645,9.67677,17.6696,,,-490.5,-0.9751,1.9228,-2.36493,5.6279
-490,11.0674,13.9616,9.67848,17.66,,,-490,-0.9743,1.9199,-2.36322,5.6183
-489.5,11.0681,13.9587,9.68019,17.6503,,,-489.5,-0.9736,1.917,-2.36151,5.6086
-489,11.0689,13.9558,9.6819,17.6407,,,-489,-0.9728,1.9141,-2.3598,5.599
-488.5,11.0696,13.9529,9.68361,17.6311,,,-488.5,-0.9721,1.9112,-2.35809,5.5894
-488,11.0704,13.95,9.68532,17.6215,,,-488,-0.9713,1.9083,-2.35638,5.5798
-487.5,11.0711,13.9471,9.68704,17.6119,,,-487.5,-0.9706,1.9054,-2.35466,5.5702
-487,11.0719,13.9442,9.68875,17.6024,,,-487,-0.9698,1.9025,-2.35295,5.5607
-486.5,11.0726,13.9413,9.69047,17.5928,,,-486.5,-0.9691,1.8996,-2.35123,5.5511
-486,11.0734,13.9384,9.69219,17.5833,,,-486,-0.9683,1.8967,-2.34951,5.5416
-485.5,11.0741,13.9355,9.6939,17.5738,,,-485.5,-0.9676,1.8938,-2.3478,5.5321
-485,11.0749,13.9327,9.69562,17.5642,,,-485,-0.9668,1.891,-2.34608,5.5225
-484.5,11.0757,13.9298,9.69734,17.5547,,,-484.5,-0.966,1.8881,-2.34436,5.513
-484,11.0764,13.9269,9.69907,17.5453,,,-484,-0.9653,1.8852,-2.34263,5.5036
-483.5,11.0772,13.924,9.70079,17.5358,,,-483.5,-0.9645,1.8823,-2.34091,5.4941
-483,11.0779,13.9212,9.70251,17.5263,,,-483,-0.9638,1.8795,-2.33919,5.4846
-482.5,11.0787,13.9183,9.70424,17.5169,,,-482.5,-0.963,1.8766,-2.33746,5.4752
-482,11.0794,13.9154,9.70596,17.5074,,,-482,-0.9623,1.8737,-2.33574,5.4657
-481.5,11.0802,13.9126,9.70769,17.498,,,-481.5,-0.9615,1.8709,-2.33401,5.4563
-481,11.0809,13.9097,9.70942,17.4886,,,-481,-0.9608,1.868,-2.33228,5.4469
-480.5,11.0817,13.9069,9.71114,17.4792,,,-480.5,-0.96,1.8652,-2.33056,5.4375
-480,11.0824,13.904,9.71287,17.4698,,,-480,-0.9593,1.8623,-2.32883,5.4281
-479.5,11.0832,13.9012,9.7146,17.4605,,,-479.5,-0.9585,1.8595,-2.3271,5.4188
-479,11.084,13.8983,9.71634,17.4511,,,-479,-0.9577,1.8566,-2.32536,5.4094
-478.5,11.0847,13.8955,9.71807,17.4418,,,-478.5,-0.957,1.8538,-2.32363,5.4001
-478,11.0855,13.8926,9.7198,17.4324,,,-478,-0.9562,1.8509,-2.3219,5.3907
-477.5,11.0862,13.8898,9.72154,17.4231,,,-477.5,-0.9555,1.8481,-2.32016,5.3814
-477,11.087,13.887,9.72327,17.4138,,,-477,-0.9547,1.8453,-2.31843,5.3721
-476.5,11.0878,13.8841,9.72501,17.4045,,,-476.5,-0.9539,1.8424,-2.31669,5.3628
-476,11.0885,13.8813,9.72675,17.3952,,,-476,-0.9532,1.8396,-2.31495,5.3535
-475.5,11.0893,13.8785,9.72849,17.386,,,-475.5,-0.9524,1.8368,-2.31321,5.3443
-475,11.09,13.8756,9.73023,17.3767,,,-475,-0.9517,1.8339,-2.31147,5.335
-474.5,11.0908,13.8728,9.73197,17.3675,,,-474.5,-0.9509,1.8311,-2.30973,5.3258
-474,11.0916,13.87,9.73371,17.3582,,,-474,-0.9501,1.8283,-2.30799,5.3165
-473.5,11.0923,13.8672,9.73545,17.349,,,-473.5,-0.9494,1.8255,-2.30625,5.3073
-473,11.0931,13.8644,9.7372,17.3398,,,-473,-0.9486,1.8227,-2.3045,5.2981
-472.5,11.0938,13.8615,9.73894,17.3306,,,-472.5,-0.9479,1.8198,-2.30276,5.2889
-472,11.0946,13.8587,9.74069,17.3214,,,-472,-0.9471,1.817,-2.30101,5.2797
-471.5,11.0954,13.8559,9.74244,17.3123,,,-471.5,-0.9463,1.8142,-2.29926,5.2706
-471,11.0961,13.8531,9.74418,17.3031,,,-471,-0.9456,1.8114,-2.29752,5.2614
-470.5,11.0969,13.8503,9.74593,17.2939,,,-470.5,-0.9448,1.8086,-2.29577,5.2522
-470,11.0977,13.8475,9.74768,17.2848,,,-470,-0.944,1.8058,-2.29402,5.2431
-469.5,11.0984,13.8447,9.74944,17.2757,,,-469.5,-0.9433,1.803,-2.29226,5.234
-469,11.0992,13.8419,9.75119,17.2666,,,-469,-0.9425,1.8002,-2.29051,5.2249
-468.5,11.1,13.8392,9.75294,17.2575,,,-468.5,-0.9417,1.7975,-2.28876,5.2158
-468,11.1007,13.8364,9.7547,17.2484,,,-468,-0.941,1.7947,-2.287,5.2067
-467.5,11.1015,13.8336,9.75645,17.2393,,,-467.5,-0.9402,1.7919,-2.28525,5.1976
-467,11.1023,13.8308,9.75821,17.2303,,,-467,-0.9394,1.7891,-2.28349,5.1886
-466.5,11.103,13.828,9.75997,17.2212,,,-466.5,-0.9387,1.7863,-2.28173,5.1795
-466,11.1038,13.8252,9.76173,17.2122,,,-466,-0.9379,1.7835,-2.27997,5.1705
-465.5,11.1046,13.8225,9.76349,17.2032,,,-465.5,-0.9371,1.7808,-2.27821,5.1615
-465,11.1053,13.8197,9.76525,17.1942,,,-465,-0.9364,1.778,-2.27645,5.1525
-464.5,11.1061,13.8169,9.76701,17.1852,,,-464.5,-0.9356,1.7752,-2.27469,5.1435
-464,11.1069,13.8142,9.76877,17.1762,,,-464,-0.9348,1.7725,-2.27293,5.1345
